year,met.data,obs,PLS.mean,PLS.sd,change.overall.mean,change.overall.sd,change.climate.mean,change.climate.sd,change.LULC.mean,change.LULC.sd,change.overall.min,change.overall.max,change.climate.min,change.climate.max,change.LULC.min,change.LULC.max
2006,GHCN,105.64072473726,105.875265323044,2.91055203269844,16.7150030138055,0,16.9495435995897,2.91055203269844,-0.234540585784154,2.91055203269844,16.7150030138055,16.7150030138055,14.0389915668912,19.8600956322881,-3.1450926184826,2.67601144691429
2006,grid,105.64072473726,79.7482663183513,2.75856372551999,20.4332892280461,0,-5.45916919086244,2.75856372551999,25.8924584189085,2.75856372551999,20.4332892280461,20.4332892280461,-8.21773291638243,-2.70060546534245,23.1338946933886,28.6510221444285
2007,GHCN,154.46494522616,145.383775530566,3.60558124961229,65.5392235027056,0,56.4580538071121,3.60558124961229,9.08116969559357,3.60558124961229,65.5392235027056,65.5392235027056,52.8524725574998,60.0636350567244,5.47558844598128,12.6867509452059
2007,grid,154.46494522616,98.141219474199,4.60139834536357,69.2575097169462,0,12.9337839649853,4.60139834536357,56.323725751961,4.60139834536357,69.2575097169462,69.2575097169462,8.33238561962169,17.5351823103488,51.7223274065974,60.9251240973245
2008,GHCN,251.919261811214,234.178374788577,8.19376946942869,162.99354008776,0,145.252653065123,8.19376946942869,17.7408870226373,8.19376946942869,162.99354008776,162.99354008776,137.058883595694,153.446422534551,9.5471175532086,25.934656492066
2008,grid,251.919261811214,142.496224703625,6.69359552596424,166.711826302,0,57.2887891944109,6.69359552596424,109.42303710759,6.69359552596424,166.711826302,166.711826302,50.5951936684467,63.9823847203752,102.729441581625,116.116632633554
2009,GHCN,211.6177105309,178.988401956116,6.87171672813683,122.691988807446,0,90.0626802326613,6.87171672813683,32.6293085747843,6.87171672813683,122.691988807446,122.691988807446,83.1909635045244,96.9343969607981,25.7575918466475,39.5010253029211
2009,grid,211.6177105309,132.724433039739,7.5392996335343,126.410275021686,0,47.5169975305257,7.5392996335343,78.8932774911604,7.5392996335343,126.410275021686,126.410275021686,39.9776978969914,55.05629716406,71.3539778576261,86.4325771246947
2010,GHCN,174.866810536706,109.718685833385,3.16913871275559,85.9410888132518,0,20.7929641099303,3.16913871275559,65.1481247033215,3.16913871275559,85.9410888132518,85.9410888132518,17.6238253971747,23.9621028226859,61.9789859905659,68.3172634160771
2010,grid,174.866810536706,126.705700118343,8.20633053975597,89.6593750274924,0,41.4982646091297,8.20633053975597,48.1611104183628,8.20633053975597,89.6593750274924,89.6593750274924,33.2919340693737,49.7045951488856,39.9547798786068,56.3674409581187
2011,GHCN,152.169189231037,114.399668087029,3.86255454383384,63.243467507583,0,25.4739463635748,3.86255454383384,37.7695211440082,3.86255454383384,63.243467507583,63.243467507583,21.6113918197409,29.3365009074086,33.9069666001744,41.6320756878421
2011,grid,152.169189231037,96.7973689124447,7.26758422465738,66.9617537218236,0,11.5899334032309,7.26758422465737,55.3718203185927,7.26758422465737,66.9617537218236,66.9617537218236,4.32234917857356,18.8575176278883,48.1042360939353,62.63940454325
2012,GHCN,68.2803515783769,43.0306178412115,3.65978602561811,-20.6453701450775,0,-45.8951038822428,3.65978602561811,25.2497337371653,3.65978602561811,-20.6453701450775,-20.6453701450775,-49.5548899078609,-42.2353178566247,21.5899477115472,28.9095197627834
2012,grid,68.2803515783769,63.6660006485339,6.45157408057961,-16.9270839308369,0,-21.5414348606798,6.45157408057961,4.61435092984295,6.45157408057961,-16.9270839308369,-16.9270839308369,-27.9930089412594,-15.0898607801002,-1.83722315073666,11.0659250104226
2013,GHCN,201.431987051696,210.196010617897,5.95269659493125,112.506265328242,0,121.270288894442,5.95269659493125,-8.76402356620014,5.95269659493125,112.506265328242,112.506265328242,115.317592299511,127.222985489373,-14.7167201611314,-2.81132697126888
2013,grid,201.431987051696,93.4446742823821,5.8217675422218,116.224551542483,0,8.2372387731684,5.8217675422218,107.987312769314,5.8217675422218,116.224551542483,116.224551542483,2.4154712309466,14.0590063153902,102.165545227093,113.809080311536
2014,GHCN,154.834943000368,119.661533346278,2.9203681776081,65.9092212769135,0,30.7358116228236,2.9203681776081,35.17340965409,2.9203681776081,65.9092212769135,65.9092212769135,27.8154434452155,33.6561798004317,32.2530414764819,38.0937778316981
2014,grid,154.834943000368,101.677840264403,6.08517278871789,69.6275074911541,0,16.4704047551897,6.08517278871789,53.1571027359644,6.08517278871789,69.6275074911541,69.6275074911541,10.3852319664718,22.5555775439076,47.0719299472465,59.2422755246823
2015,GHCN,139.474781291733,90.4465724168784,3.26347834707963,50.5490595682791,0,1.52085069342404,3.26347834707963,49.0282088748551,3.26347834707963,50.5490595682791,50.5490595682791,-1.74262765365558,4.78432904050367,45.7647305277755,52.2916872219347
2015,grid,139.474781291733,57.5498258634312,2.19747441406365,54.2673457825197,0,-27.6576096457825,2.19747441406365,81.9249554283022,2.19747441406365,54.2673457825197,54.2673457825197,-29.8550840598461,-25.4601352317188,79.7274810142386,84.1224298423659
2016,GHCN,193.986127508855,120.424286919296,5.19086677623543,105.060405785401,0,31.4985651958414,5.19086677623543,73.5618405895593,5.19086677623543,105.060405785401,105.060405785401,26.3076984196059,36.6894319720768,68.3709738133239,78.7527073657947
2016,grid,193.986127508855,58.1497592738684,3.54448080837985,108.778691999641,0,-27.0576762353453,3.54448080837985,135.836368234987,3.54448080837985,108.778691999641,108.778691999641,-30.6021570437252,-23.5131954269655,132.291887426607,139.380849043366
