date,DToPcpn,DAvSol,DAvTAir,DMxTAir,DMnTAir,DAvRHum,DAvWind
1985-09-03,0.0,217.9,25.08,29.73,20.43,85.95,4.39
1985-09-04,0.58,159.6,24.77,28.32,22.09,90.51,2.09
1985-09-05,0.38,98.6,23.41,26.7,21.09,91.78,2.03
1985-09-06,0.0,234.2,25.67,31.77,20.29,88.39,2.37
1985-09-07,0.0,230.8,27.21,33.88,21.04,86.6,1.83
1985-09-08,2.83,59.03,21.68,25.2,19.51,92.24,3.27
1985-09-09,0.13,57.26,19.55,21.66,17.11,93.14,2.67
1985-09-10,0.0,65.0,15.94,18.97,10.94,92.43,2.72
1985-09-11,0.04,233.0,13.13,19.37,5.76,76.95,2.39
1985-09-12,0.0,170.8,10.97,17.9,4.64,84.66,2.16
1985-09-13,0.0,213.3,11.46,18.38,4.87,80.15,2.17
1985-09-14,0.0,177.0,10.7,19.15,3.98,83.62,1.07
1985-09-15,0.0,233.0,11.93,20.85,3.02,79.53,1.75
1985-09-16,0.0,192.5,16.36,23.61,6.97,77.44,3.54
1985-09-17,0.0,118.3,18.88,23.11,14.67,87.71,4.81
1985-09-18,0.0,192.1,23.36,28.61,18.25,84.7,3.54
1985-09-19,0.0,200.1,23.88,28.96,19.74,79.51,4.61
1985-09-20,0.0,100.4,16.73,21.61,11.18,84.79,4.26
1985-09-21,0.0,46.32,10.76,14.8,8.54,95.13,3.57
1985-09-22,0.0,63.07,17.91,21.51,14.8,93.13,2.93
1985-09-23,0.0,51.19,14.62,19.56,8.03,92.5,5.26
1985-09-24,0.0,170.7,6.67,12.36,1.17,80.41,3.65
1985-09-25,0.0,38.72,7.89,12.56,1.13,95.87,2.55
1985-09-26,0.0,46.93,9.51,14.25,4.75,95.62,1.28
1985-09-27,0.0,202.0,9.53,17.06,1.71,77.89,2.06
1985-09-28,0.0,166.9,13.33,20.9,5.65,86.08,1.83
1985-09-29,0.0,63.22,12.32,16.29,9.3,95.19,2.4
1985-09-30,0.0,43.65,9.75,14.8,5.8,93.43,4.47
1985-10-01,0.0,116.3,5.2,10.13,0.21,84.51,3.64
